Rank, Alexa rank, URL, Country
1, 646, masrawy.com, Egypt
2, 968, ahram.org.eg, Egypt
3, 1321, news24.com, South Africa
4, 1339, bidorbuy.co.za, South Africa
5, 1867, yallakora.com, Egypt
6, 2076, fnb.co.za, South Africa
7, 2359, standardbank.co.za, South Africa
8, 2436, pichunter.com, Seychelles
9, 2841, absa.co.za, South Africa
10, 3087, novamov.com, Seychelles
11, 3151, cliphunter.com, Seychelles
12, 3252, iol.co.za, South Africa
13, 3772, elfagr.org, Egypt
14, 4675, mybroadband.co.za, South Africa
15, 4869, videoweed.es, Seychelles
16, 4937, egynews.net, Egypt
17, 5485, mweb.co.za, South Africa
18, 5718, supersport.com, South Africa
19, 6287, junkmail.co.za, South Africa
20, 6766, kalahari.com, South Africa
21, 7328, vodacom.co.za, South Africa
22, 7911, vodafone.com.eg, Egypt
23, 8035, sport24.co.za, South Africa
24, 8050, watchfomny.com, Morocco
25, 8180, inwi.ma, Morocco
26, 8302, timeslive.co.za, South Africa
27, 8883, bizcommunity.com, South Africa
28, 9031, algomhuria.net.eg, Egypt
29, 9080, mobawaba.com, Egypt
30, 9289, pricecheck.co.za, South Africa
31, 9763, property24.com, South Africa
32, 9892, tedata.net, Egypt
33, 10233, privateproperty.co.za, South Africa
34, 10245, addynamo.com, South Africa
35, 10431, dstv.com, South Africa
36, 10701, iam.ma, Morocco
37, 11141, co.za, South Africa
38, 11992, ltt.ly, Libya
39, 13351, fin24.com, South Africa
40, 13489, telecomegypt.com.eg, Egypt
41, 13775, sudani.sd, Sudan
42, 13969, channel24.co.za, South Africa
43, 14505, safarinow.com, South Africa
44, 14774, divxstage.eu, Seychelles
45, 14880, takealot.com, South Africa
46, 15117, kenanaonline.com, Egypt
47, 15118, stream2watch.me, Seychelles
48, 15227, egyptair.com, Egypt
49, 15233, moe.gov.eg, Egypt
50, 15734, nedbank.co.za, South Africa
51, 16880, afrihost.com, South Africa
52, 17217, mtnonline.com, Nigeria
53, 17846, 24.com, South Africa
54, 18030, cu.edu.eg, Egypt
55, 18304, discovery.co.za, South Africa
56, 18407, nationallottery.co.za, South Africa
57, 18780, careerjunction.co.za, South Africa
58, 18891, iafrica.com, South Africa
59, 19014, postoffice.co.za, South Africa
60, 19212, pnet.co.za, South Africa
61, 19656, weathersa.co.za, South Africa
62, 19916, health24.com, South Africa
63, 19937, swiftng.com, Nigeria
64, 19951, hetzner.co.za, South Africa
65, 20120, hellopeter.com, South Africa
66, 20200, sowetanlive.co.za, South Africa
67, 20409, careers24.com, South Africa
68, 20531, uct.ac.za, South Africa
69, 20682, nbe.com.eg, Egypt
70, 21152, businessday.co.za, South Africa
71, 21159, flysaa.com, South Africa
72, 21173, yellowpages.co.za, South Africa
73, 21370, makro.co.za, South Africa
74, 21408, etisalat.com.eg, Egypt
75, 21571, clickatell.com, South Africa
76, 22621, moneyweb.co.za, South Africa
77, 22958, kulula.com, South Africa
78, 23105, 140online.com, Egypt
79, 23605, jobmail.co.za, South Africa
80, 23768, unilag.edu.ng, Nigeria
81, 23786, travelstart.co.za, South Africa
82, 24241, linkonlineworld.com, Egypt
83, 24831, menara.ma, Morocco
84, 25221, telcom.co.za, South Africa
85, 25340, meditel.ma, Morocco
86, 25830, jawhara.me, Egypt
87, 26925, ykarabia.com, Egypt
88, 27627, onec.dz, Algeria
89, 28255, psg.co.za, South Africa
90, 28852, arikair.com, Nigeria
91, 28967, computicket.com, South Africa
92, 29214, activecollab.com, Seychelles
93, 29286, safaricom.co.ke, Kenya
94, 30295, directorysphere.com, Egypt
95, 30854, webafrica.co.za, South Africa
96, 30885, woolworths.co.za, South Africa
97, 30898, gn4me.com, Egypt
98, 30904, sun.ac.za, South Africa
99, 31324, linkdsl.com, South Africa
100, 31819, women24.com, South Africa